Chord,Word,Rank
abou,about,45
abotu,about,45
abov,above,1082
abeov,above,
ad,add,362
af,after,131
aefrt,after,131
agin,again,178
agin<DUP>,again,178
air,air,455
al,all,43
alm,almost,357
almo,almost,357
almos,almost,357
almost,almost,357
aglo,along,533
aglno,along,533
alos,also,89
alwy,always,191
alswy,always,191
an,an, 2
dn,and,3
adn,and,3
ain,animal,780
aimn,animal,780
ailmn<DUP>,animal,780
aimn,animal,780
ahno,another,166
ahnor,another,166
aehnort,another,166
anrsw,answer,835
aenrsw,answer,835
any,any,103
an,any,103
ar,are,3
aer,are,3
aoru,around,307
anoru,around,307
adnoru,around,307
as,as,38
aks,ask,143
at,at,27
ae,at,27
awy<DUP>,away,267
abk,back,108
abck,back,108
be,be,2
bc,because,88
abceesu,because,88
ben,been,3
bef,before,239
befor,before,239
abegn,began,232
bg,begin,232
begin,begin,232
belo,below,1526
below,below,1526
betw,between,169
bentw,between,169
bgi,big,156
bko,book,218
bot,both,291
boy,boy,358
btu,but,24
by,by,33
acl,call,125
ace,came,61
acem,came,61
acn,can,37
acr,car,321
acry,carry,572
acry<DUP>,carry,572
achn,change,304
chilr,children,140
cdehilnr,children,140
city,city,222
celos,close,688
ceo,come,61
cemo,come,61
cdlou,could,75
cntu,country,190
cnortu,country,190
cnortuy,country,190
ctu,cut,467
ady,day,96
di,did,15
dfi,different,236
firt,different,236
definrt,different,236
do,do,15
deos,does,15
dnt,don't,15
dnot,don't,15
dnot,don't,15
dnow,down,119
aceh,each,234
e<DUP>,earth,725
aehrt,earth,725
aet,eat,476
et<DUP>,eat,476
den,end,303
enou,enough,352
eghnou,enough,352
env,even,111
evy<DUP>,every,165
ervy<DUP>,every,165
ex,example,775
aelmpx,example,775
ey<DUP>,eye,283
acef,face,369
afm,family,171
afilmy,family,171
afr,far,266
aef,father,317
frt,father,317
aefhrt,father,317
eft,feet,372
efw,few,198
fn,find,97
dfin,find,97
first,first,94
flow,follow,332
cfo,food,372
dfo,food,372
fr,for,14
for,for,14
fm,form,556
fmr,form,556
fnou,found,97
dfnou,found,97
fou,four,311
foru,four,311
fmor,from,30
gt,get,34
egt,get,34
gilr,girl,313
gi,give,98
egi,give,98
egip,give,98
go,go,31
go<DUP>,good,93
got,got,34
grt,great,138
aegrt,great,138
goru,group,199
gopru,group,199
gor,grow,390
gorw,grow,390
adh,had,11
ahn,hand,194
adhn,hand,194
ahr,hard,430
adhr,hard,430
ah,has,11
ahs,has,11
aehv,have,11
eh,he,16
ch,head,278
adeh,head,278
aeh,hear,184
aehr,hear,184
ehlo,hello,1122
ehlo<DUP>,hello,1122
ehl,help,155
ehlp,help,155
hr,her,57
ehr,her,57
gh,here,78
egh,here,78
eh<DUP>,here,78
ehr<DUP>,here,78
ghi,high,164
him,him,65
his,his,29
ehmo,home,255
ehosu,house,176
how,how,69
adei,idea,263
fi,if,40
imp,important,297
imnprt,important,297
in,in,7
int,into,77
inot,into,77
is,is,3
it,it,10
it,it's,10
ist,it's,10
ju,just,51
jsu,just,51
jstu,just,51
ek,keep,151
ekp,keep,151
dikn,kind,256
kno,know,39
know,know,39
adl,land,2166
adln,land,2166
aglr,large,270
aeglr,large,270
alu,last,139
als,last,139
alst,last,139
lrv,later,363
aelrt,later,363
lr,learn,322
aelnr,learn,322
aelv,leave,152
aelv<DUP>,leave,152
flt,left,4559
eflt,left,4559
elt,let,122
lrt,letter,732
elrt<DUP>,letter,732
lrt,letter,732
fl,life,116
efil,life,116
ghil,light,521
ghilt,light,521
ikl,like,73
eikl,like,73
ln,line,312
lo,line,312
iln,line,312
eiln,line,312
il,list,2043
ilst,list,2043
eilt,little,238
eilt<DUP>,little,238
ilv,live,209
eilv,live,209
gl,long,284
gln,long,284
glno,long,284
klo,look,81
adem,made,50
aem,make,50
aekm,make,50
amn,man,95
amn,many,113
amny,many,113
